user_name,score,review_text,review_date,app_version,thumbs_up,churned,app
10 Nguyễn Thu Hằng,3,ê t mệt nha lúc chưa cập nhật thì 10 gb xong cập nhật xong tưởng đc chơi mà vô ngồi đợi tải nảy h chưa xong rất là mất thời gian aaaaa tức quá,2025-07-10 12:43:42,1.59.1.5,0,0,Lien Quan Mobile
Kiên Nguyễn công trí,1,ko vào đc sảnh,2025-07-10 12:43:06,1.59.1.5,0,1,Lien Quan Mobile
An1 Long,1,tải dữ liệu rất tốn mạng,2025-07-10 12:41:56,1.58.1.2,0,1,Lien Quan Mobile
kiên 55,3,nhiều dung lượng quá ko thik,2025-07-10 12:41:51,1.58.1.2,0,0,Lien Quan Mobile
Quân Minh,1,"xóa cái bộc phá dùm toàn lũ sv cầm đi ks đi rừng phụ 14 phế vãi ra,hệ thống ghim mục tiêu ngu băng trụ đánh người k chọt người đi chọt trụ chọn ghim mục tiêu máu thấp nhất mà cáu trụ 9k máu đi ghim,đã tải tài nguyên xg hết vô lại tải lại từ đâu m đói lắm à",2025-07-10 12:41:23,1.59.1.5,0,1,Lien Quan Mobile
Thọ Đao,1,mỗi lần cập nhật là mỗi lần hết vài GB,2025-07-10 12:40:39,1.59.1.5,0,1,Lien Quan Mobile
Diu phan van,3,game cx đc khá nặng máy 3*,2025-07-10 12:40:24,1.59.1.5,0,0,Lien Quan Mobile
Tram Thanh,5,nó rất hay Tôi thích nó,2025-07-10 12:39:00,1.58.1.2,0,0,Lien Quan Mobile
Khôi K Xuân,1,cập nhật xong đeoo vô đc,2025-07-10 12:38:21,1.59.1.5,0,1,Lien Quan Mobile
Pha Nguyen,5,game rất hay,2025-07-10 12:35:49,1.59.1.5,0,0,Lien Quan Mobile
Thư Hoàng,5,"nhiều sự kiện, free quân huy, skin vô tư, thấy oke",2025-07-10 12:34:54,1.59.1.5,0,0,Lien Quan Mobile
quang nguyen,4,"Xem xét lại sau khi cập nhật nha, cập nhật xog lại phải tải GB",2025-07-10 12:34:42,1.59.1.5,0,0,Lien Quan Mobile
Toàn Hồ,3,gà gán sếp ranh như bùi,2025-07-10 12:34:07,1.59.1.5,0,0,Lien Quan Mobile
Dương Mai,2,"game bị lỗi hình ảnh trang bị ,lỗi hiễn thị sát thương , lỗi hình ảnh vàng nhận được trong game , ảnh hưởng lớn cho người chơi , ad xem fit sớm ạ",2025-07-10 12:32:59,1.59.1.5,2,1,Lien Quan Mobile
Thanh Vu,1,cập nhật thấy mệt,2025-07-10 12:31:50,1.58.1.2,0,1,Lien Quan Mobile
Trang Dang,5,game hay nhưng tôi ko có tiền mua skin vì tôi là khối nghỉ nghè,2025-07-10 12:31:29,1.59.1.5,0,0,Lien Quan Mobile
uzumaki merimoka,1,mạng mạnh mà vô không được game,2025-07-10 12:30:56,1.59.1.5,0,1,Lien Quan Mobile
Lộng Giàng,5,trò chơi mượt mà,2025-07-10 12:29:45,1.58.1.2,0,0,Lien Quan Mobile
Hoài Bảo Trương,1,game ko cho vào xong ra trừ uy tín tôi quá thất vọng vì game,2025-07-10 12:28:43,1.59.1.5,0,1,Lien Quan Mobile
Anh Pham,5,trò này rất hay,2025-07-10 12:27:32,1.59.1.5,0,0,Lien Quan Mobile
Người dùng Google,1,máaaa cập nhật tốn dữ liệu nha,2025-07-10 12:26:39,1.58.1.2,0,1,Lien Quan Mobile
C AB,5,ko có gì để chê,2025-07-10 12:24:52,1.59.1.5,0,0,Lien Quan Mobile
Hung Dam,4,cute hết nước chấmmn,2025-07-10 12:24:49,1.59.1.5,0,0,Lien Quan Mobile
Lê Trọng nghia Phan,1,game chơi toàn văn ra. ko chs đc gì hế,2025-07-10 12:24:19,1.59.1.5,0,1,Lien Quan Mobile
Văn Hải Phạm,5,game rất hay nhưng rất nhiều lỗi rất vui nhưng rất tệ giảm stress nhưng cũng rất ức chế,2025-07-10 12:22:20,1.59.1.5,0,0,Lien Quan Mobile
Thanh Doan,5,hay,2025-07-10 12:21:44,1.59.1.5,0,0,Lien Quan Mobile
Ut Pham,1,tại vì mới mua 50k xu nó không nhập vào được,2025-07-10 12:21:35,1.59.1.5,0,1,Lien Quan Mobile
Hân Hân,3,Game cập nhật lại mạng không ổn định cả hai bên điều bị đứng máy afk thì cho hòa đi tại sao lại để bên thua bên thắng cập nhật game lần này tệ thật,2025-07-10 12:18:29,1.59.1.5,0,0,Lien Quan Mobile
Yuki Ari,1,toxic nhiều,2025-07-10 12:18:16,1.59.1.5,0,1,Lien Quan Mobile
Hai Dang Vo,5,Ghép trận toàn gặp rank cao thủ chiến tướng trong khi t mới kim cương ghép rank ko đồng đều 😡 gặp mấy thằng đó khó chịu vl😡,2025-07-10 12:17:56,1.59.1.5,8,0,Lien Quan Mobile
Nghĩa Quách,1,cập nhật xong phải tai lại ko tai lại tương như siêu nhân tiga game như vậy cho 1s,2025-07-10 12:16:45,1.59.1.5,0,1,Lien Quan Mobile
Thien Pham,1,game cập nhật lỗi k mở dc bắt xoá đi tải lại từ đầu. game lol,2025-07-10 12:16:37,1.59.1.5,0,1,Lien Quan Mobile
Hoàng Anh Vo,5,tốt,2025-07-10 12:15:30,1.59.1.5,0,0,Lien Quan Mobile
hoang do,2,Không vào được 😡😡,2025-07-10 12:15:25,1.59.1.5,0,1,Lien Quan Mobile
Anh Đức Nguyễn,1,"Mẹ, chơi liên quân mà cứ đến lúc chờ tải để vào trận thì lại bị văng mà mang căng đét . Mẹ thêm cả cái cập nhập s3 2025 đấu hạng nữa thắng điểm cộng ít vãi còn thua thì trừ nhiều điểm thôi rồi",2025-07-10 12:13:54,1.59.1.5,5,1,Lien Quan Mobile
Quyên Nguyễn,1,đồng đội ngu thua hoài,2025-07-10 12:12:47,1.59.1.5,0,1,Lien Quan Mobile
Non Luong,1,Toàn bị lỗi,2025-07-10 12:12:45,1.59.1.5,0,1,Lien Quan Mobile
Vũ Lý,5,chơi tốt,2025-07-10 12:12:03,1.58.1.2,0,0,Lien Quan Mobile
Phan Ánh Ngọc Dương,1,"mắc gì cứ cập nhật mãi, mỗi lần cập nhật lại thêm cả đống dung lượng",2025-07-10 12:11:52,1.58.1.2,0,1,Lien Quan Mobile
